dataset,missing_type,missing_rate,variant,seed,batches,route_entropy,route_effective_groups,out_a_norm,out_b_norm,out_ab_cosine,proj_a_weight_norm,proj_b_weight_norm,gate_mean,gate_std,gate_group_mean,route_top1_counts
Electricity,random_point,0.5,fuse,2024,5,0.8470907211303711,2.1727163791656494,22.96375617980957,19.49068374633789,0.1830414742231369,10.922358512878418,15.06930160522461,,,,65.0000|87.0000|121.0000|48.0000
Electricity,random_point,0.5,fuse,2025,5,0.8256018757820129,2.0926578044891357,24.75767402648926,19.92619400024414,0.26037716269493105,11.037195205688477,15.088568687438965,,,,93.0000|68.0000|60.0000|100.0000
Traffic,continuous_segment,0.7,fuse,2024,5,0.7519968748092651,1.942400336265564,24.055665588378908,29.784178924560546,0.36901953220367434,8.598525047302246,12.641286849975586,,,,84.0000|121.0000|317.0000|340.0000
Traffic,continuous_segment,0.7,fuse,2025,5,0.7429327964782715,1.926561713218689,21.58170928955078,24.346206283569337,0.37932905554771423,8.434345245361328,12.876338958740234,,,,147.0000|153.0000|251.0000|311.0000
Traffic,random_point,0.3,fuse,2024,5,1.0614813566207886,2.6564271450042725,25.27898292541504,16.831111907958984,0.46918376684188845,7.011711120605469,9.488243103027344,,,,89.0000|289.0000|252.0000|232.0000
Traffic,random_point,0.3,fuse,2025,5,0.9861104488372803,2.428615093231201,27.977893447875978,29.829319381713866,0.3909021556377411,9.74583625793457,13.348531723022461,,,,178.0000|265.0000|265.0000|154.0000
Traffic,random_point,0.5,fuse,2024,5,0.8892333507537842,2.165087938308716,27.951448822021483,24.15823097229004,0.32432801723480226,9.9503812789917,12.607086181640625,,,,274.0000|78.0000|298.0000|212.0000
Traffic,random_point,0.5,fuse,2025,5,0.9620830416679382,2.4333863258361816,23.66221389770508,24.925901412963867,0.34262768626213075,9.315299034118652,13.540937423706055,,,,139.0000|307.0000|86.0000|330.0000
Weather,continuous_segment,0.5,fuse,2024,5,1.025709867477417,2.6624984741210938,15.611814880371094,20.339349365234376,0.3861209869384766,6.415410995483398,7.290547847747803,,,,8.0000|7.0000|0.0000|6.0000
Weather,continuous_segment,0.5,fuse,2025,5,1.0743764638900757,2.831249475479126,16.471960067749023,21.546999740600587,0.41136832237243653,6.4544501304626465,7.4925713539123535,,,,9.0000|0.0000|1.0000|11.0000
Weather,continuous_segment,0.7,fuse,2024,5,1.0064321756362915,2.655243396759033,24.777477645874022,14.98908576965332,0.40850231647491453,7.3533453941345215,7.381982326507568,,,,4.0000|5.0000|7.0000|5.0000
Weather,continuous_segment,0.7,fuse,2025,5,1.0513259172439575,2.7345800399780273,21.208272171020507,15.297161865234376,0.30508718490600584,7.0184102058410645,7.102761268615723,,,,11.0000|3.0000|0.0000|7.0000
Weather,random_point,0.5,fuse,2024,5,0.9137973189353943,2.23098087310791,20.709567260742187,18.718143653869628,0.4114320933818817,7.107363700866699,8.405570983886719,,,,2.0000|6.0000|3.0000|10.0000
Weather,random_point,0.5,fuse,2025,5,0.9864782094955444,2.4450857639312744,18.993284225463867,16.94276866912842,0.5460233807563781,6.590602397918701,7.935865879058838,,,,5.0000|5.0000|5.0000|6.0000
Traffic,continuous_segment,0.7,soft,2024,5,0.7656083106994629,1.9545540809631348,,,,,,,,,124.0000|126.0000|263.0000|349.0000
Traffic,continuous_segment,0.7,soft,2025,5,0.806732177734375,2.1093575954437256,,,,,,,,,404.0000|66.0000|290.0000|102.0000
