dataset,method,predictor,impute,missing_type,missing_rate,seq_len,pred_len,seed,mse,mae,impute_mse,n_params,peak_mem_mb,train_time_sec,best_val_mse
Electricity,misstsm,iTransformer,none,random_point,0.1,96,96,2024,0.18049821471577343,0.2910056276618569,1.00383166090672,340706,1800.50390625,2.931946039199829,0.14837193103466748
ETTm1,saits,iTransformer,none,mixed,0.3,96,720,2025,0.6321901005844796,0.5531906077248356,0.8379157358723077,1711349,217.3779296875,3.022984266281128,0.9346114474196708
Traffic,crib,iTransformer,none,random_point,0.3,96,96,2024,0.6200405003560235,0.3532558541695859,1.4770360642785034,640412,304.03515625,3.1444029808044434,0.48510776908373243
ETTm1,coifnet,iTransformer,none,variable_channel,0.3,96,720,2026,0.6723438735670894,0.5611170647861935,1.111698678407103,1038910,491.97265625,1.781830072402954,1.104992680831724
ETTh1,saits,iTransformer,none,continuous_segment,0.1,96,336,2024,0.5606144708359874,0.515616959907217,2.056942928891285,1661813,225.140625,0.9161524772644043,1.1998577554474177
Electricity,crib,iTransformer,none,continuous_segment,0.1,96,96,2025,0.16629182865570286,0.2706754723023418,1.0034293993220285,431586,191.3603515625,8.019304037094116,0.13618917253595839
ExchangeRate,coifnet,iTransformer,none,mixed,0.1,336,192,2026,0.6741277194884886,0.5452316033552929,2.660858837954969,615072,302.3076171875,0.41191911697387695,1.0677290551456404
ExchangeRate,crib,iTransformer,none,mixed,0.1,336,192,2024,0.6752494710037508,0.5530397037425673,3.8653504245252495,366160,812.02880859375,0.4244651794433594,1.0177326639703552
ExchangeRate,saits,iTransformer,none,variable_channel,0.1,96,192,2025,0.41327721167759723,0.41395403785877916,3.314591919083193,1644904,213.37841796875,0.5407180786132812,0.37083090508005184
Traffic,simple,PatchTST,linear,continuous_segment,0.1,96,336,2026,0.5349279818196935,0.31661461402112107,2.3179929544043354,787946,6270.15576171875,12.450207471847534,0.4354520237219006
ETTh1,saits,iTransformer,none,continuous_segment,0.1,96,96,2024,0.42089141023009213,0.4319070293937594,1.5165784764760701,1630853,223.61328125,0.8884711265563965,0.6793999091406057
Electricity,simple,DLinear,linear,random_point,0.3,96,336,2025,0.21889289929897277,0.3101664180805941,0.12556568680923513,65505,153.7734375,3.9227612018585205,0.19308589528069256
ETTm1,simple,iTransformer,linear,variable_channel,0.3,96,336,2025,0.6152202352968027,0.5255361618396689,1.1165735845646796,333399,30.9287109375,7.886799097061157,0.8849280614857169
Traffic,simple,iTransformer,linear,continuous_segment,0.3,96,336,2026,0.5219357828455647,0.341193698072058,2.2491510361198364,334254,5047.12353515625,34.06013321876526,0.45013685273485676
ETTm1,baseline,PatchTST,none,none,0.0,96,96,2024,0.32034238730856834,0.3571922822058592,0.0,416501,73.60107421875,3.878453254699707,0.38843979702475817
ExchangeRate,saits,iTransformer,none,mixed,0.1,336,96,2026,0.9070975813972816,0.5934003176314108,7.304137902313403,1695880,1043.71240234375,0.5597717761993408,0.9151767238772293
Electricity,saits,PatchTST,none,random_point,0.1,96,96,2026,0.15770474891263925,0.2521250036160997,0.38745779744979375,2465545,2666.87939453125,3.698833703994751,0.13509842425408447
ExchangeRate,baseline,PatchTST,none,none,0.0,96,336,2024,0.33741973582151774,0.4208468142393473,0.0,785384,89.43212890625,0.3300297260284424,0.3788756050398446
